Spatial_frequency,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20
2.17E+00,4.02E-17,,,,,,,,,,,,,,,,,,,
2.19E+00,6.23E-17,,,,,,,,,,,,,,,,,,,
2.20E+00,2.92E-17,,,,,,,,,,,,,,,,,,,
2.21E+00,2.09E-17,,,,,,,,,,,,,,,,,,,
2.23E+00,3.38E-17,,,,,,,,,,,,,,,,,,,
2.24E+00,1.15E-16,,,,,,,,,,,,,,,,,,,
2.26E+00,7.96E-17,,,,,,,,,,,,,,,,,,,
2.27E+00,9.89E-17,,,,,,,,,,,,,,,,,,,
2.29E+00,5.51E-17,,,,,,,,,,,,,,,,,,,
2.30E+00,7.50E-17,,,,,,,,,,,,,,,,,,,
2.31E+00,3.12E-17,,,,,,,,,,,,,,,,,,,
2.33E+00,7.14E-17,,,,,,,,,,,,,,,,,,,
2.34E+00,1.74E-17,,,,,,,,,,,,,,,,,,,
2.36E+00,5.42E-17,,,,,,,,,,,,,,,,,,,
2.37E+00,4.43E-17,,,,,,,,,,,,,,,,,,,
2.39E+00,5.07E-17,,,,,,,,,,,,,,,,,,,
2.40E+00,3.38E-17,,,,,,,,,,,,,,,,,,,
2.41E+00,7.61E-17,,,,,,,,,,,,,,,,,,,
2.43E+00,5.09E-17,,,,,,,,,,,,,,,,,,,
2.44E+00,9.34E-17,,,,,,,,,,,,,,,,,,,
2.46E+00,7.83E-17,,,,,,,,,,,,,,,,,,,
2.47E+00,1.09E-16,,,,,,,,,,,,,,,,,,,
2.49E+00,3.07E-17,,,,,,,,,,,,,,,,,,,
2.50E+00,1.20E-17,,,,,,,,,,,,,,,,,,,
2.51E+00,6.80E-17,,,,,,,,,,,,,,,,,,,
2.53E+00,5.41E-17,,,,,,,,,,,,,,,,,,,
2.54E+00,5.43E-17,,,,,,,,,,,,,,,,,,,
2.56E+00,3.47E-17,,,,,,,,,,,,,,,,,,,
2.57E+00,6.05E-17,,,,,,,,,,,,,,,,,,,
2.59E+00,2.29E-17,,,,,,,,,,,,,,,,,,,
2.60E+00,7.90E-17,,,,,,,,,,,,,,,,,,,
2.61E+00,5.63E-17,,,,,,,,,,,,,,,,,,,
2.63E+00,1.39E-17,,,,,,,,,,,,,,,,,,,
2.64E+00,5.59E-17,,,,,,,,,,,,,,,,,,,
2.66E+00,5.26E-17,,,,,,,,,,,,,,,,,,,
2.67E+00,1.22E-17,,,,,,,,,,,,,,,,,,,
2.69E+00,3.16E-17,,,,,,,,,,,,,,,,,,,
2.70E+00,3.17E-17,,,,,,,,,,,,,,,,,,,
2.71E+00,3.53E-17,,,,,,,,,,,,,,,,,,,
2.73E+00,1.22E-17,,,,,,,,,,,,,,,,,,,
2.74E+00,1.13E-16,,,,,,,,,,,,,,,,,,,
2.76E+00,9.86E-17,,,,,,,,,,,,,,,,,,,
2.77E+00,2.12E-17,,,,,,,,,,,,,,,,,,,
2.79E+00,1.71E-17,,,,,,,,,,,,,,,,,,,
2.80E+00,2.41E-17,,,,,,,,,,,,,,,,,,,
2.81E+00,3.79E-17,,,,,,,,,,,,,,,,,,,
2.83E+00,3.79E-17,,,,,,,,,,,,,,,,,,,
2.84E+00,4.46E-17,,,,,,,,,,,,,,,,,,,
2.86E+00,5.04E-17,,,,,,,,,,,,,,,,,,,
2.87E+00,3.04E-17,,,,,,,,,,,,,,,,,,,
2.89E+00,7.80E-17,,,,,,,,,,,,,,,,,,,
2.90E+00,3.66E-17,,,,,,,,,,,,,,,,,,,
2.91E+00,6.47E-17,,,,,,,,,,,,,,,,,,,
2.93E+00,4.63E-17,,,,,,,,,,,,,,,,,,,
2.94E+00,6.86E-17,,,,,,,,,,,,,,,,,,,
2.96E+00,2.25E-17,,,,,,,,,,,,,,,,,,,
2.97E+00,6.98E-17,,,,,,,,,,,,,,,,,,,
2.99E+00,1.59E-17,,,,,,,,,,,,,,,,,,,
3.00E+00,5.43E-17,,,,,,,,,,,,,,,,,,,
3.01E+00,3.84E-17,,,,,,,,,,,,,,,,,,,
3.03E+00,4.43E-03,,,,,,,,,,,,,,,,,,,
3.04E+00,8.85E-03,,,,,,,,,,,,,,,,,,,
3.06E+00,1.48E-02,,,,,,,,,,,,,,,,,,,
3.07E+00,2.08E-02,,,,,,,,,,,,,,,,,,,
3.09E+00,2.84E-02,,,,,,,,,,,,,,,,,,,
3.10E+00,3.59E-02,,,,,,,,,,,,,,,,,,,
3.11E+00,4.45E-02,,,,,,,,,,,,,,,,,,,
3.13E+00,5.31E-02,,,,,,,,,,,,,,,,,,,
3.14E+00,6.27E-02,,,,,,,,,,,,,,,,,,,
3.16E+00,7.24E-02,,,,,,,,,,,,,,,,,,,
3.17E+00,8.25E-02,,,,,,,,,,,,,,,,,,,
3.19E+00,9.27E-02,,,,,,,,,,,,,,,,,,,
3.20E+00,1.03E-01,,,,,,,,,,,,,,,,,,,
3.21E+00,1.14E-01,,,,,,,,,,,,,,,,,,,
3.23E+00,1.26E-01,,,,,,,,,,,,,,,,,,,
3.24E+00,1.37E-01,,,,,,,,,,,,,,,,,,,
3.26E+00,1.50E-01,,,,,,,,,,,,,,,,,,,
3.27E+00,1.62E-01,,,,,,,,,,,,,,,,,,,
3.29E+00,1.75E-01,,,,,,,,,,,,,,,,,,,
3.30E+00,1.87E-01,,,,,,,,,,,,,,,,,,,
3.31E+00,2.01E-01,,,,,,,,,,,,,,,,,,,
3.33E+00,2.14E-01,,,,,,,,,,,,,,,,,,,
3.34E+00,2.28E-01,,,,,,,,,,,,,,,,,,,
3.36E+00,2.42E-01,,,,,,,,,,,,,,,,,,,
3.37E+00,2.56E-01,,,,,,,,,,,,,,,,,,,
3.39E+00,2.70E-01,,,,,,,,,,,,,,,,,,,
3.40E+00,2.85E-01,,,,,,,,,,,,,,,,,,,
3.41E+00,2.99E-01,,,,,,,,,,,,,,,,,,,
3.43E+00,3.14E-01,,,,,,,,,,,,,,,,,,,
3.44E+00,3.29E-01,,,,,,,,,,,,,,,,,,,
3.46E+00,3.44E-01,,,,,,,,,,,,,,,,,,,
3.47E+00,3.59E-01,,,,,,,,,,,,,,,,,,,
3.49E+00,3.75E-01,,,,,,,,,,,,,,,,,,,
3.50E+00,3.91E-01,,,,,,,,,,,,,,,,,,,
3.51E+00,4.07E-01,,,,,,,,,,,,,,,,,,,
3.53E+00,4.23E-01,,,,,,,,,,,,,,,,,,,
3.54E+00,4.39E-01,,,,,,,,,,,,,,,,,,,
3.56E+00,4.56E-01,,,,,,,,,,,,,,,,,,,
3.57E+00,4.72E-01,,,,,,,,,,,,,,,,,,,
3.59E+00,4.88E-01,,,,,,,,,,,,,,,,,,,
3.60E+00,5.05E-01,,,,,,,,,,,,,,,,,,,
3.61E+00,5.22E-01,,,,,,,,,,,,,,,,,,,
3.63E+00,5.39E-01,,,,,,,,,,,,,,,,,,,
3.64E+00,5.56E-01,,,,,,,,,,,,,,,,,,,
3.66E+00,5.73E-01,,,,,,,,,,,,,,,,,,,
3.67E+00,5.90E-01,,,,,,,,,,,,,,,,,,,
